URL,Name,2026,2025,2024
https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam,Erasmus University Rotterdam,65.6,65.6,66.7
https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus,Ohio State University (Main campus),65.4,65.2,66.7
https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus,Penn State (Main campus),65.4,66.2,65
https://www.timeshighereducation.com/world-university-rankings/university-bern,University of Bern,65.4,65.8,65.4
https://www.timeshighereducation.com/world-university-rankings/university-sheffield,The University of Sheffield,65.4,66.3,66.2
https://www.timeshighereducation.com/world-university-rankings/university-massachusetts,University of Massachusetts,65.3,68,64.9
https://www.timeshighereducation.com/world-university-rankings/free-university-berlin,Free University of Berlin,65.2,65.8,66.5
https://www.timeshighereducation.com/world-university-rankings/university-oslo,University of Oslo,65.2,65.2,64.3
https://www.timeshighereducation.com/world-university-rankings/ghent-university,Ghent University,65.1,65.4,65.6
https://www.timeshighereducation.com/world-university-rankings/mcmaster-university,McMaster University,65,65.2,66.3
https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park,"University of Maryland, College Park",65,65.4,65.7
https://www.timeshighereducation.com/world-university-rankings/university-leeds,University of Leeds,64.9,64.5,63.9
https://www.timeshighereducation.com/world-university-rankings/university-alberta,University of Alberta,64.6,65.2,65.9
https://www.timeshighereducation.com/world-university-rankings/university-basel,University of Basel,64.5,64.2,64.9
https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark,Technical University of Denmark,64.4,64.4,64.6
https://www.timeshighereducation.com/world-university-rankings/university-gottingen,University of Göttingen,64.1,64.8,65.8
https://www.timeshighereducation.com/world-university-rankings/university-warwick,University of Warwick,64.1,65.7,66.1
https://www.timeshighereducation.com/world-university-rankings/wuhan-university,Wuhan University,64.1,63,61.3
https://www.timeshighereducation.com/world-university-rankings/university-hamburg,University of Hamburg,63.7,63.2,63
https://www.timeshighereducation.com/world-university-rankings/university-lausanne,University of Lausanne,63.7,63,62.7
https://www.timeshighereducation.com/world-university-rankings/university-rochester,University of Rochester,63.6,63.9,63.6
https://www.timeshighereducation.com/world-university-rankings/uppsala-university,Uppsala University,63.5,63.6,62.8
https://www.timeshighereducation.com/world-university-rankings/university-southampton,University of Southampton,63.4,65.3,66.9
https://www.timeshighereducation.com/world-university-rankings/university-bologna,University of Bologna,63.3,62.1,61.8
https://www.timeshighereducation.com/world-university-rankings/harbin-institute-technology,Harbin Institute of Technology,63.2,61.8,N/A
https://www.timeshighereducation.com/world-university-rankings/maastricht-university,Maastricht University,63.2,63.2,62.9
https://www.timeshighereducation.com/world-university-rankings/adelaide-university,Adelaide University,N/A,N/A,N/A
https://www.timeshighereducation.com/world-university-rankings/beijing-normal-university,Beijing Normal University,62.9,62.1,N/A
https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-london,Queen Mary University of London,62.9,62.3,63.1
https://www.timeshighereducation.com/world-university-rankings/university-florida,University of Florida,62.9,63.6,63.7
https://www.timeshighereducation.com/world-university-rankings/scuola-normale-superiore-di-pisa,Scuola Normale Superiore di Pisa,62.8,61.7,60.8
https://www.timeshighereducation.com/world-university-rankings/university-arizona,University of Arizona,62.6,62.7,61.8
https://www.timeshighereducation.com/world-university-rankings/university-freiburg,University of Freiburg,62.6,63.8,64.1
https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu,National Taiwan University (NTU),62.5,60.4,61.9
https://www.timeshighereducation.com/world-university-rankings/pohang-university-science-and-technology-postech,Pohang University of Science and Technology (POSTECH),62.3,61.9,62.2
https://www.timeshighereducation.com/world-university-rankings/tongji-university,Tongji University,62.3,61.7,N/A
https://www.timeshighereducation.com/world-university-rankings/university-liverpool,University of Liverpool,62.2,61.1,60.8
https://www.timeshighereducation.com/world-university-rankings/newcastle-university,Newcastle University,62.1,61.4,60.8
https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university,Case Western Reserve University,62,61.2,61.3
