,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
1333,Pontifícia Universidade Católica do Paraná,601.0,801.0,801.0,301.0,1001.0,"Curitiba, Brazil",52.4,31.4,801.0,,801.0,27.3–32.0,,1201–1500,13.1,40.6,,26.3,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidade-catolica-do-parana,1201.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Sociology",54.0,46.0,0.01,11606.0,12.7,Brazil,Curitiba,27.3
1334,Port Said University,801.0,601.0,601.0,,,"Port Fouad City, Egypt",29.7,48.6,,,801.0,27.3–32.0,,1201–1500,10.3,61.4,,13.3,https://www.timeshighereducation.com/world-university-rankings/port-said-university,1201.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",55.0,45.0,0.01,31634.0,33.5,Egypt,Port Fouad City,27.3
1335,Poznań University of Life Sciences,1001.0,601.0,,,,"Poznań, Poland",30.3,30.2,,,,27.3–32.0,,1201–1500,12.8,41.0,,26.5,https://www.timeshighereducation.com/world-university-rankings/poznan-university-life-sciences,1201.0,,"Accounting and Finance, Economics and Econometrics",,,"Civil Engineering, General Engineering",,"Agriculture and Forestry, Biological Sciences, Veterinary Science",,,,,59.0,41.0,0.08,5626.0,7.7,Poland,Poznań,27.3
1336,Poznan University of Medical Sciences,801.0,,,,,"Poznan, Poland",44.1,33.1,,,,27.3–32.0,,1201–1500,14.3,47.8,,31.1,https://www.timeshighereducation.com/world-university-rankings/poznan-university-medical-sciences,1201.0,,,,,,,,"Medicine and Dentistry, Other Health",,,,73.0,27.0,0.1,7512.0,5.7,Poland,Poznan,27.3
1337,Prince of Songkla University,801.0,801.0,401.0,801.0,601.0,"Songkhla, Thailand",51.6,39.2,1001.0,601.0,801.0,27.3–32.0,,1201–1500,16.0,39.4,,24.3,https://www.timeshighereducation.com/world-university-rankings/prince-songkla-university,1201.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Sociology",68.0,32.0,0.02,33623.0,13.1,Thailand,Songkhla,27.3
1338,Public University of Navarre,801.0,601.0,601.0,801.0,401.0,"Pamplona, Spain",43.3,47.3,801.0,801.0,601.0,27.3–32.0,,1201–1500,15.2,49.2,,25.5,https://www.timeshighereducation.com/world-university-rankings/public-university-navarre,1201.0,"History, Philosophy and Theology","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,Sociology,52.0,48.0,0.09,8824.0,11.4,Spain,Pamplona,27.3
1339,Pukyong National University,501.0,801.0,801.0,1001.0,601.0,"Nam-Gu, South Korea",54.1,35.1,,,1001.0,27.3–32.0,,1201–1500,20.4,36.1,,30.3,https://www.timeshighereducation.com/world-university-rankings/pukyong-national-university,1201.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",47.0,53.0,0.08,16710.0,18.1,South Korea,Nam-Gu,27.3
1340,Riga Stradiņš University,801.0,,,,,"Riga, Latvia",25.0,64.6,,,,27.3–32.0,,1201–1500,16.9,39.1,,18.5,https://www.timeshighereducation.com/world-university-rankings/riga-stradins-university,1201.0,,Business and Management,,,,Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health",Mathematics and Statistics,Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",75.0,25.0,0.35,8229.0,24.6,Latvia,Riga,27.3
1341,Rowan University,601.0,601.0,1001.0,801.0,801.0,United States,40.6,39.8,501.0,801.0,501.0,27.3–32.0,,1201–1500,13.2,45.3,,29.6,https://www.timeshighereducation.com/world-university-rankings/rowan-university,1201.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",50.0,50.0,0.06,17484.0,13.3,United States,United States,27.3
1342,Sahand University of Technology,801.0,,,,,"Tabriz, Iran",47.6,35.2,,,,27.3–32.0,,1201–1500,13.6,47.9,,28.8,https://www.timeshighereducation.com/world-university-rankings/sahand-university-technology,1201.0,,,Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,"Mathematics and Statistics, Physics and Astronomy",,,43.0,57.0,0.12,6325.0,28.6,Iran,Tabriz,27.3
1343,Sakarya University,801.0,1001.0,801.0,601.0,1001.0,"Sakarya, Türkiye",26.7,33.2,,,601.0,27.3–32.0,,1201–1500,13.8,49.7,,21.8,https://www.timeshighereducation.com/world-university-rankings/sakarya-university,1201.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",52.0,48.0,0.09,41615.0,36.6,Türkiye,Sakarya,27.3
1344,Salahaddin University–Erbil,801.0,801.0,,,,"Erbil, Iraq",17.0,29.7,,,1001.0,27.3–32.0,,1201–1500,8.3,60.1,,23.4,https://www.timeshighereducation.com/world-university-rankings/salahaddin-university-erbil,1201.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",54.0,46.0,0.01,26525.0,10.5,Iraq,Erbil,27.3
1345,Sapporo Medical University,801.0,,,,,"Hokkaido, Japan",57.5,18.4,,,,27.3–32.0,,1201–1500,13.4,38.3,,31.4,https://www.timeshighereducation.com/world-university-rankings/sapporo-medical-university,1201.0,,,,,,,,"Medicine and Dentistry, Other Health",,,,45.0,55.0,0.0,1307.0,3.3,Japan,Hokkaido,27.3
1346,SASTRA University,801.0,801.0,,,,"Thanjavur, India",41.6,27.4,,,601.0,27.3–32.0,,1201–1500,11.0,42.8,,27.6,https://www.timeshighereducation.com/world-university-rankings/sastra-university,1201.0,"Art, Performing Art and Design","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,Communication and Media Studies,51.0,49.0,0.0,11847.0,13.9,India,Thanjavur,27.3
