0,1,2,3,4,5,6,7,8
82,"University of Groningen
Netherlands",69.3,47.4,55.9,94.1,99.7,91.7,https://www.timeshighereducation.com/world-university-rankings/university-groningen
84,"University of Glasgow
United Kingdom",68.9,50.6,52.2,95.9,73.2,95.5,https://www.timeshighereducation.com/world-university-rankings/university-glasgow
85,"Purdue University West Lafayette
United States",68.8,62.1,66.3,73.8,86.3,75.2,https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette
86,"Yonsei University (Seoul campus)
South Korea",68.5,58.7,57.4,87.8,100.0,55.7,https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus
87,"Sungkyunkwan University (SKKU)
South Korea",68.3,60.2,57.5,83.4,99.7,64.3,https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku
88,"University of Minnesota
United States",67.5,60.3,59.0,84.1,99.9,44.7,https://www.timeshighereducation.com/world-university-rankings/university-minnesota
89,"Humboldt University of Berlin
Germany",67.2,52.6,60.6,85.5,65.9,77.6,https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin
90,"University of Copenhagen
Denmark",67.1,51.3,52.2,91.3,92.8,76.6,https://www.timeshighereducation.com/world-university-rankings/university-copenhagen
91,"Charité - Universitätsmedizin Berlin
Germany",66.9,47.2,48.7,98.2,100.0,72.4,https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin
=92,"RWTH Aachen University
Germany",66.7,54.9,63.0,76.7,100.0,70.3,https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university
=92,"University of Bonn
Germany",66.7,51.5,56.6,88.5,78.7,71.8,https://www.timeshighereducation.com/world-university-rankings/university-bonn
=92,"Vanderbilt University
United States",66.7,53.8,48.1,95.6,91.9,60.8,https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university
=95,"Lund University
Sweden",66.6,49.1,56.7,85.7,99.7,79.2,https://www.timeshighereducation.com/world-university-rankings/lund-university
=95,"University of Vienna
Austria",66.6,50.0,60.9,79.8,80.0,94.0,https://www.timeshighereducation.com/world-university-rankings/university-vienna
97,"University of California, Irvine
United States",66.4,47.8,52.8,91.2,98.4,76.3,https://www.timeshighereducation.com/world-university-rankings/university-california-irvine
=98,"KTH Royal Institute of Technology
Sweden",66.3,51.1,57.3,79.7,97.2,90.5,https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology
=98,"University of Birmingham
United Kingdom",66.3,47.7,48.4,93.7,74.2,94.3,https://www.timeshighereducation.com/world-university-rankings/university-birmingham
=98,"University of Tübingen
Germany",66.3,49.1,53.8,89.0,98.6,74.6,https://www.timeshighereducation.com/world-university-rankings/university-tubingen
101,"Aarhus University
Denmark",66.2,48.6,58.8,83.9,99.8,75.3,https://www.timeshighereducation.com/world-university-rankings/aarhus-university
102,"Emory University
United States",65.9,53.8,46.2,94.6,82.8,66.4,https://www.timeshighereducation.com/world-university-rankings/emory-university
=103,"Rice University
United States",65.8,56.7,46.8,88.1,72.9,82.6,https://www.timeshighereducation.com/world-university-rankings/rice-university
=103,"Tohoku University
Japan",65.8,70.9,70.8,52.8,100.0,59.2,https://www.timeshighereducation.com/world-university-rankings/tohoku-university
=105,"Michigan State University
United States",65.7,57.1,55.9,82.7,69.9,67.3,https://www.timeshighereducation.com/world-university-rankings/michigan-state-university
=105,"University of Helsinki
Finland",65.7,50.4,57.3,90.1,70.7,58.6,https://www.timeshighereducation.com/world-university-rankings/university-helsinki
107,"Erasmus University Rotterdam
Netherlands",65.6,38.5,52.9,95.9,89.2,87.1,https://www.timeshighereducation.com/world-university-rankings/erasmus-university-rotterdam
=108,"Ohio State University (Main campus)
United States",65.4,57.4,51.7,85.7,85.4,58.4,https://www.timeshighereducation.com/world-university-rankings/ohio-state-university-main-campus
=108,"Penn State (Main campus)
United States",65.4,54.8,61.9,80.4,70.8,57.8,https://www.timeshighereducation.com/world-university-rankings/penn-state-main-campus
=108,"University of Bern
Switzerland",65.4,46.6,47.0,92.0,99.4,86.3,https://www.timeshighereducation.com/world-university-rankings/university-bern
=108,"University of Sheffield
United Kingdom",65.4,49.7,49.1,88.3,79.4,90.4,https://www.timeshighereducation.com/world-university-rankings/university-sheffield
112,"University of Massachusetts
United States",65.3,55.0,46.6,87.9,88.6,75.0,https://www.timeshighereducation.com/world-university-rankings/university-massachusetts
=113,"Free University of Berlin
Germany",65.2,50.2,58.3,82.2,72.4,79.5,https://www.timeshighereducation.com/world-university-rankings/free-university-berlin
=113,"University of Oslo
Norway",65.2,47.8,52.5,90.3,75.2,76.5,https://www.timeshighereducation.com/world-university-rankings/university-oslo
115,"Ghent University
Belgium",65.1,48.8,58.6,82.7,99.9,65.9,https://www.timeshighereducation.com/world-university-rankings/ghent-university
=116,"McMaster University
Canada",65.0,42.2,49.3,93.1,100.0,84.6,https://www.timeshighereducation.com/world-university-rankings/mcmaster-university
=116,"University of Maryland, College Park
United States",65.0,50.4,58.3,89.1,69.5,48.9,https://www.timeshighereducation.com/world-university-rankings/university-maryland-college-park
118,"University of Leeds
United Kingdom",64.9,48.3,50.3,87.2,71.6,93.6,https://www.timeshighereducation.com/world-university-rankings/university-leeds
119,"University of Alberta
Canada",64.6,49.1,55.4,78.1,100.0,88.4,https://www.timeshighereducation.com/world-university-rankings/university-alberta
120,"University of Basel
Switzerland",64.5,50.2,42.8,87.5,99.8,94.2,https://www.timeshighereducation.com/world-university-rankings/university-basel
121,"Technical University of Denmark
Denmark",64.4,51.2,46.5,82.6,99.9,93.0,https://www.timeshighereducation.com/world-university-rankings/technical-university-denmark
=122,"University of Göttingen
Germany",64.1,49.4,52.7,87.2,71.0,70.1,https://www.timeshighereducation.com/world-university-rankings/university-gottingen
=122,"University of Warwick
United Kingdom",64.1,48.1,49.3,85.6,69.4,95.6,https://www.timeshighereducation.com/world-university-rankings/university-warwick
=122,"Wuhan University
China",64.1,54.0,48.4,90.1,99.7,41.6,https://www.timeshighereducation.com/world-university-rankings/wuhan-university
=125,"University of Hamburg
Germany",63.7,45.7,52.8,87.1,99.8,63.6,https://www.timeshighereducation.com/world-university-rankings/university-hamburg
=125,"University of Lausanne
Switzerland",63.7,44.3,46.1,89.0,99.4,88.4,https://www.timeshighereducation.com/world-university-rankings/university-lausanne
127,"University of Rochester
United States",63.6,51.8,44.5,86.3,92.0,78.1,https://www.timeshighereducation.com/world-university-rankings/university-rochester
128,"Uppsala University
Sweden",63.5,47.4,54.9,81.3,95.0,71.5,https://www.timeshighereducation.com/world-university-rankings/uppsala-university
129,"University of Southampton
United Kingdom",63.4,44.6,45.4,89.6,73.1,96.1,https://www.timeshighereducation.com/world-university-rankings/university-southampton
130,"University of Bologna
Italy",63.3,54.2,50.1,83.3,82.5,59.7,https://www.timeshighereducation.com/world-university-rankings/university-bologna
=131,"Harbin Institute of Technology
China",63.2,57.2,57.7,77.2,100.0,32.5,https://www.timeshighereducation.com/world-university-rankings/harbin-institute-technology
=131,"Maastricht University
Netherlands",63.2,41.4,46.1,88.3,98.3,96.7,https://www.timeshighereducation.com/world-university-rankings/maastricht-university
133,"Adelaide University
Australia",63,38.3,48.9,89.5,99.7,89.8,https://www.timeshighereducation.com/world-university-rankings/adelaide-university
=134,"Beijing Normal University
China",62.9,59.6,49.3,80.9,89.1,42.4,https://www.timeshighereducation.com/world-university-rankings/beijing-normal-university
=134,"Queen Mary University of London
United Kingdom",62.9,38.7,42.6,95.7,76.5,97.5,https://www.timeshighereducation.com/world-university-rankings/queen-mary-university-london
=134,"University of Florida
United States",62.9,55.3,56.7,76.2,90.9,48.9,https://www.timeshighereducation.com/world-university-rankings/university-florida
137,"Scuola Normale Superiore di Pisa
Italy",62.8,58.6,46.9,86.4,37.7,59.3,https://www.timeshighereducation.com/world-university-rankings/scuola-normale-superiore-di-pisa
=138,"University of Arizona
United States",62.6,48.3,52.5,86.1,80.6,53.7,https://www.timeshighereducation.com/world-university-rankings/university-arizona
=138,"University of Freiburg
Germany",62.6,46.7,47.4,84.5,99.7,77.1,https://www.timeshighereducation.com/world-university-rankings/university-freiburg
140,"National Taiwan University (NTU)
Taiwan",62.5,59.4,54.9,68.6,100.0,59.2,https://www.timeshighereducation.com/world-university-rankings/national-taiwan-university-ntu
=141,"Pohang University of Science and Technology (POSTECH)
South Korea",62.3,58.3,49.5,79.2,100.0,39.9,https://www.timeshighereducation.com/world-university-rankings/pohang-university-science-and-technology-postech
=141,"Tongji University
China",62.3,53.2,53.6,74.3,99.9,63.5,https://www.timeshighereducation.com/world-university-rankings/tongji-university
143,"University of Liverpool
United Kingdom",62.2,43.5,42.0,91.2,68.0,95.0,https://www.timeshighereducation.com/world-university-rankings/university-liverpool
144,"Newcastle University
United Kingdom",62.1,39.8,43.2,93.0,80.0,89.5,https://www.timeshighereducation.com/world-university-rankings/newcastle-university
=145,"Case Western Reserve University
United States",62.0,51.8,42.2,88.7,74.9,64.6,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university
=145,"University of Barcelona
Spain",62.0,44.0,47.8,88.5,92.4,64.6,https://www.timeshighereducation.com/world-university-rankings/university-barcelona
=145,"University of Macau
Macao",62.0,40.2,40.9,92.9,87.0,92.5,https://www.timeshighereducation.com/world-university-rankings/university-macau
